id,editor,starring,title,writer
19847,,George Bancroft Nancy Kelly Richard Greene Preston Foster,,Jack Yellen William Faulkner
19848,,Gu00E9rard Xavier Marcel Depardieu Cécile De France,,Xavier Giannoli
19849,,Yusuf Khan Mahjabeen Bano,,
19850,,Elizabeth Perkins Jeffrey Lynn Goldblum Alexander Pollock,,John Requa Glenn Ficarra
19851,,Lara Dutta John Abraham (actor) Sanjay Dutt,,Suresh Nair Sanjay Gupta (Bollywood Director)
19852,,Dayo Wong u5B89u5FD7u6770 / Andy On Ting Man,Nothing is Impossible,
19853,,Michelle Ingrid Williams Anna Louise Friel Oliver Milburn,Me Without You,"Sandra Goldbacher 

Laurence Coriat"
19854,,Golshifteh Farahani Hedye Tehrani,Half Moon,Bahman Ghobadi
19855,,Paget Brewster Jim Zulevic Robert Hepler Lowe James Harvey Kennedy Judy Greer Thomas McMillen Kelly Coffield Jordan Ladd Sean Gunn,The Specials,James Gunn (film maker)
19856,,Bridget Jane Fonda Bruno Ganz Blair Brown,Strapless,David Hare
19857,,Benicio Monserrate Rafael del Toro Su00E1nchez Sean Justin Penn Naomi Ellen Watts,21 Grams,Guillermo Arriaga
19858,,Dirch Passer,,Aage Stentoft Tage Vandsted
19859,,Grant Cramer Royal Dano John Vernon Suzanne Snyder John Allen Nelson,The Dickies - Killer Klowns excerpt,"Charles Chiodo<BR />Edward Chiodo
Stephen Chiodo"
19860,,Mabel Normand,Mickey,J.G. Hawks
19861,,Robert Williams (actor) Art Miles Jerome Lester Horwitz Harry Moses Horwitz Larry Fine (actor) Frank Lackteen Vernon Bruce Dent,,Edward Bernds
19862,,Jane Greer Douglas Elton Ulman Fairbanks Walter Slezak Mike Mazurki Antonio Rudolfo Oaxaca Quinn Maureen FitzSimons George Tobias,Sinbad the Sailor,George Worthing Yates
19863,,Charles Laughton Richard Arlen Kathleen Burke Leila Hyams Bela Lugosi,,Philip Wylie Waldemar Young
19864,,,Where Eskimos Live,
19865,,Jaimie Alexander Cory Rouse Nathan Mobly Poncho Hodges,,Gregg Bishop
19866,,"Michael David Rapaport Raymond Liotta Annabella Sciorra John Spencer Robert Mario De Niro, Jr. Arthur J. Nascarella Sylvester Gardenzio Stallone Robert Patrick Janeane Garofalo Harvey Keitel Peter Berg",,James Mangold
19867,,Rau00FAl Rafael Juliu00E1 y Arcelay Anjelica Huston Christina Ricci Carel Struycken Christopher Allen Lloyd Elizabeth Wilson Jimmy Workman Judith Malina,The Addams Family,Larry Wilson Charles Addams Caroline Thompson
19868,,Darren Boyd Michael John Gambon Amelia Fiona J. Driver Mary Catherine McCormack Kevin McNally,High Heels and Low Lifes,Georgia Pritchett Darren Boyd Kim Fuller
19869,,Nedumudi Venu Mohanlal Viswanathan Nair Poornima Jayaram,,Fazil
19870,,Julia Karin Ormond William Paxton,,Anita Shreve
19871,,Kathy Ireland William R. Moses Thomas Bryan Mathews Janet Du Plessis Simon Poland Don Michael Paul Richard Haines,Alien from L.A.,Albert Pyun Regina Davis Debra Ricci
19872,,Cedric Webster Hardwicke Taina Elg John Lupton Roger George Moore Henry Daniell Torin Thatcher Marisa Pierangeli Julia Jean Mildred Frances Turner Pedro Gregorio Armendu00E1riz Hastings,Diane,Christopher Isherwood John Erskine
19873,,,u014Coku,Taeko Asano
19874,,Ethel Agnes Zimmermann Charles Ruggles Arthur Veary Treacher Harry Lillis Crosby Ida Lupino,,P.G. Wodehouse Howard Lindsay Russel Crouse Guy Bolton
19875,,Wallace Reid,Nan of Music Mountain,Frank H. Spearman
19876,,Kenneth Dollins Louis Feinberg Jean Willes Wade Crosby Rocky Woods Seymour Schindel Jerome Lester Horwitz Fred Kelsey Snub Pollard Harry Moses Horwitz,,Edward Bernds
19877,,Sidney Poitier Barbara McNair Martin Landau,They Call Me MISTER Tibbs!,Alan Trustman James R. Webb
19878,,Julie Fiona Roberts Dennis William Quaid Kyra Minturn Sedgwick Virginia Cathryn Rowlands Robert Selden Duvall,,Callie Khouri
19879,,,Les hommes pru00E9fu00E8rent les grosses,Josiane Balaskovic
19880,,Megumi Hayashibara Yuki Shingo Katori Kyôtaro Shimizu Yuya Endo Anne Suzuki Teruo Takeno,,
19881,,Franco Citti,Accattone,Pier Paolo Pasolini
19882,,Coleen Gray Lee Van Cleef Neville Brand John Payne (actor) Preston Foster,,Harry Essex
19883,,"George Peppard, Jr. Robert Francis Vaughn Carmine Orrico Darlanne Fluegel Richard Earl Thomas",Battle Beyond the Stars,Anne Dyer John Sayles
19884,,Bill Cosby Robin McLaurim Williams Diane Lane Jennifer Lopez,Jack,"James DeMonaco
Gary Nadeau"
19885,,Angel Aviles Jacob Vargas Seidy López,,
19886,,Kay Johnson Wallace Fitzgerald Beery Johnny Mack Brown,Billy the Kid,Wanda Tuchock Laurence Stallings Walter Noble Burns Charles MacArthur
19887,,Linda Lewis George Kelsey Raymond Roberts Buster Crabbe,,Fred Olen Ray
19888,,James Harrison Coburn Jr. Aldo DaRe Camilla Sparv,Dead Heat on a Merry-Go-Round,Bernard Girard
19889,,John T. Smith Mel Blanc,Bunny Hugged List of Bugs Bunny cartoons,Michael Maltese
19890,,Sarah Lassez Jaason Simmons James Duval Walter Koenig Devon Odessa,Mad Cowgirl,Gregory Hatanaka Norith Soth
19891,,Thomas Sean Connery Anna Helene Paquin Rob Brown (actor) Fahrid Murad Ibrahim,Finding Forrester,Mike Rich
19892,,Harry Eden,,Alison Hume
19893,,Andy Garcia Bill Nunn William Forsythe Christopher Allen Lloyd Ronald Walken Treat Williams,Things to Do in Denver When You're Dead,Scott Rosenberg
19894,,Nicholas King Nolte,The Good Thief,"Neil Jordan
based on screenplay by Auguste Le Breton & Jean-Pierre Melville"
19895,,Sridevi Kamal Haasan,,
19896,,Suman (actor) Sarath Kumar Divya Venkatasubramaniam Manoj K. Jayan Lakshmi Rai Thilakan Padmapriya Linda Arsenio Mammotty Kalabhavan Mani,Pazhassi Raja,M. T. Vasudevan Nair
19897,,Robert Horton (actor) Luciana Paluzzi Richard Jaeckel,The Green Slime,William Finger Charles Sinclair
19898,,Jonathan K. Favreau Peter Michael Falk Sean Combs Vincent Anthony Vaughn,Made,Jonathan K. Favreau
19899,,Emlyn Williams Robert Newton Deborah Jane Kerr-Trimmer James Neville Mason,Hatter's Castle,A. J. Cronin Rodney Ackland
19900,,Madhur Jaffrey Jennifer Kendal Geoffrey Kendal Partap Sharma Balbir Raj Kapoor Felicity Ann Kendal,,Ruth Prawer Jhabvala
19901,,Esteban Ernesto Echevarria Elpidia Carrillo Daniel Lugo Alba Raquel Barros,,"Ricardo Mu00E9ndez Matta
Poli Marichal"
19902,,Harold Lloyd,Take a Chance,
19903,,Nathan Phillips Gillian Alexy Khan Chittenden Michael Dorman,West,Daniel Krige
19904,,Sherman Hemsley Robert Townsend,"Up, Up and Away",Daniel Berendsen
19905,,Jan Henrik Stahlberg Fritz Roth Wanda Perdelwitz,,Jan Henrik Stahlberg
19906,,,,David John Noel Bourke
19907,,Timothy Francis Robbins Martin Lawrence,Nothing to Lose,Steve Oedekerk
19908,,"Clay Borris
Mack Dolgy",,Paul Eichgrun
19909,,,,Jan Švankmajer
19910,,Kyle MacLachlan Pascale Bussières Kim Coates Stephen Andrew Baldwin Janet Kidder,Xchange,Christopher Pelham
19911,,Aldo Monti Marga López Norma Lazareno Joaquin Cordero Aurecoechea,,Carlos Enrique Taboada
19912,,Madhuri Shankar Dixit Sanjay Kapoor,Raja,
19913,,Navdeep,,
19914,,Lydia Knott Edna Purviance Charles Chaplin Adolphe Jean Menjou Clarence Geldart Henry Bergman Charles K. French Carl Miller (actor),,Charles Chaplin
19915,,Deep Purple,,
19916,,Barbara Mori Ochoa Leonardo Sbaraglia Tony Dalton,Violanchelo,"Marino Alex 
Alex Marino"
19917,,Sharmila Tagore Deven Verma Dharmendra,Anupama,Hrishikesh Mukherjee
19918,,Konstantin Khabensky,,Laeta Kalogridis Timur Bekmambetov Sergei Lukyanenko
19919,,Amber Rose Tamblyn Kimberly Alexis Bledel Kyle Schmid Blake Christina Lively America Georgine Ferrera,The Sisterhood of the Traveling Pants,Ann Brashares Delia Ephron
19920,,,Serial (film) Universal Pictures,
19921,,Simon Baker Asia Aria Anna Maria Vittoria Rossa Argento John Leguizamo Dennis Lee Hopper,Land of the Dead,George A. Romero
19922,,,The Wacky World of Mother Goose,Romeo Muller
19923,,The Radiators (US),,The Radiators (US)
19924,,Geetha Namitha Shriya Saran Sayaji Shinde Santhanam Joseph Vijay Chandrasekhar Shakeela Ashish Vidyarthi,,Bharathan
19925,,Rajnikanth,,
19926,,Henry DeWitt Carey II,Man to Man,George C. Hull
19927,,Joel Solomon Cohen Irene Joan Marian Sims Kenneth Charles Williams George Frederick Joffe Hartree Kenneth Connor,,Norman Hudis
19928,,Aldo Silvani Giulietta Masina François Périer Salvatore Amedeo Carlo Leone Buffa,Academy Award for Best Foreign Language Film Nights of Cabiria,Tullio Pinelli Ennio Flaiano
19929,,Kamal Haasan,,
19930,,Robert Houston Michael Berryman Susan Lanier Dee Wallace-Stone,,Wes Craven
19931,,Harold Lloyd,His Royal Slyness,H.M. Walker
19932,,Juanita Horton Anita Pomares Charles King,The Broadway Melody Academy Award for Best Picture,Edmund Goulding Norman Houston James Gleason
19933,,Remo de Angelis Jean-Louis Trintignant Luigi Pistilli Nikolaus Karl Gu00FCnther Nakszyu0144ski Vonetta McGee Carlo D'Angelo Walter Frank Hermann Wolff Mario Brega Spartico Conversi,The Great Silence,Vittoriano Petrilli Mario Amendola Bruno Corbucci
19934,,Miriam Cooper Earle Foxe Helen Lidroth Alie Hollister Robert G. Vignola,,
19935,,Freddie Mercury Roger Meddows-Taylor Morgan Fisher John Deacon Brian May,Queen on Fire: Live at the Bowl,
19936,,El?bieta Czy?ewska Hanna Bielicka,,Krzysztof Gruszczy?ski
19937,,"Vincent Leonard Price, Jr. Nancy Kovack Lewis Martin",Diary of a Madman,Robert Kent
19938,,Au Ka-Hing u5434u8000u6C49  Ng Yiu-Hon Theresa Fu Ronald Cheng Chung-Kei Teresa Mo Ting Man,Mr. 3 Minutes,
19939,,Raymond Romano Kevin George Knipfing,,William Tepper
19940,,Suresh G. Nair Shobana Mohanlal Viswanathan Nair,,Madhu Muttam
19941,,Raj Kapoor (actor) Nassar Yamini Sharma Shriya Saran Thambi Ramiah Suja Vadivelu Sumithra,,Thambi Ramiah
19942,,Sofia Villani Scicolone Geneviève Page Raffaele Vallone Gary Raymond John Charles Carter John Fraser (actor),El Cid,Philip Yordan Frederic M. Frank
19943,,Vesa Vierikko Markku Huhtamo Esko Kovero Timo Torikka Martti Suosalo,Talvisota,Antti Tuuri
19944,,Misha Collins Laura Prepon,Karla,Joel Bender Manette Rosen Michael D. Sellers
19945,,Nils Brandt Ulf Brunnberg Björn Gustafson Hans Gu00F6sta Gustaf Ekman,,Henning Bahs William Aldridge Sven Melander Erik Balling
19946,,Sergio Rubini Roman Polanski Gu00E9rard Xavier Marcel Depardieu Tano Cimarosa Nicola Di Pinto Paolo Lombardi Maria Rosa Spagnolo,A Pure Formality,Pascal Quignard Giuseppe Tornatore
19947,,Eli Wallach Robert Martin Culp Michael C. Gwynne,,Christopher Knopf
19948,,Ken Utsui,Attack from Space,Ichiro Miyagawa
19949,,John Arthur Kennedy Dorothy Hackett McGuire Gwyllyn Samuel Newton Ford,Trial,Don Mankiewicz
19950,,Linda Kozlowski Paul Hogan,Crocodile Dundee,Paul Hogan John Cornell Ken Shadie
19951,,Westcott Clarke Harold Lloyd Bill Strother Noah Young Mildred Davis,Safety Last!,Harry Eugene Roach Sam Taylor (director) Tim Whelan
19952,,Sharifah Amani binti Syed Zainal Rashid Al-Yahya Amber Chia Lee Kyung-yup (changed to Lee Kyung-eun in 2002),,
19953,,Roberto Escalada,,Rodolfo M. Taboada
19954,,"Issa Coulibaly 
 Alejandro Da Silva",,Pablo César
19955,,Sudie Bond Sandra Dale Dennis Cher Kathleen Doyle Bates Karen Blanche Ziegler,"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",Ed Graczyk
19956,,Josette Simon Alex Descas Peter William Postlethwaite,A Child From the South,Gill Bond Leyga Zendare Chris Austen
19957,,Wallace Fitzgerald Beery,Richard the Lion-Hearted,Frank E. Woods Walter Scott
19958,,K?ichi Yamadera Takeshi Aono Yoshio Nagahori Emi Shinohara,,Yoshiaki Kawajiri
19959,,Walter Catlett,Honeymoon Trio,Jack Townley Ernest Pagano
19960,,Oliver Hardy,Cleaning Time,Will Louis
19961,,Jennifer E. Chan Katherine Marie Heigl Bradford Claude Dourif,,Don Mancini
19962,,Garrett Gonzalez Morris Joan Marie Severance Bruce Paul Abbott,,Craig J. Nevius
19963,,Ruby Catherine Stevens Barry Sullivan (actor),,"Mel Dinelli
Maurice Zimm (story)"
19964,,Ingrid Bergman Jean-Alfred Villain-Marais Melchor Gaston Ferrer Jean Richard,Elena and Her Men,"Jean Serge
Jean Renoir"
19965,,Bernice Claire Lilyan Tashman Zasu Pitts Alexander Gray (actor) Louise Fazenda,,Howard Emmett Rogers Frank Mandel Otto A. Harbach Beatrice Van
19966,,Ravi Krishna Tamanna Nasser Karunas,,
19967,,Angela Bassett Khandi Alexander Laurence John Fishburne III,What's Love Got to Do with It,Tina Turner Kurt Loder Kate Lanier
19968,,"Julie Ege Elke Schletz Denholm Elliot Judy Geeson Leigh Lawson Adrienne Posta Vincent Leonard Price, Jr.",,Harry H. Corbett Ian Le Frenais Sid Colin
19969,,Gang Wang Vic Vargas,"Hari sa hari, lahi sa lahi",Eddie Romero
19970,,Jesse Mcintosh Hunter Stiebel Jill Sellers Randy Harken R. Benito Cardenas Theresa Jun Tao Bob Simpson Johnson Lo J. Kristopher Robert Beirdman Lester Reynolds Gina Field Ebony Alexus Cole Ivan Djurovic Emile Livingston Noah Abdul-Adil Seifullah II,,Noah Abdul-Adil Seifullah II
19971,,Michael Craig Peter Wilton Cushing Bernard Lee,Cone of Silence,Robert Westerby
19972,,William Claude Rains Ernest Frederick McIntyre Bickel Steffi Duna Akim Tamiroff Anita Louise Fremault Donald Woods Olivia Mary de Havilland Louis Hayward Edith Holm Sondergaard,Anthony Adverse,Milton Krims Sheridan Gibney Hervey Allen
19973,,Kamal Haasan,,
19974,,Joe Don Baker Gary Leonard Oldman Tess Harper Karen Young (actress) Kevin Norwood Bacon,,Mark Kasdan
19975,,Hoot Gibson,The Jack of Hearts,Anthony Coldeway
19976,,Oliver Hardy Billy West (silent film actor),Cupid's Rival,
19977,,Ken Mitsuishi,Noriko's Dinner Table,Sion Sono
19978,,Michael Harris (actor) Liza D'Agostino Nancy Allison Wolfe Camila Griggs,,Lauran Hoffman
19979,,"Rainie Yang Luisa Leong
Leong Lok-Iu (u6881u6A02u7464)",Spider Lilies,Zero Chou
19980,,Hoot Gibson,The Trail of the Holdup Man,Jack Jevne
19981,,Osamu Nishimura Kana Ishida,,Masazaku Migita Minoru Kawasaki
19982,,Paul Jesson Eleanor Bron Peter Jeffrey Edward Fox Arthur John Gielgud Clive Francis Tessa Peake-Jones,,Simon Gray
19983,,Hisashi Igawa Takahiro Murase Sujin Kim Kirina Mano,Bullet Ballet,Shinya Tsukamoto
19984,,"Caryn Elaine Johnson Patrick Hewes Stewart''People of Today'':  Debrett, London, 2007 Philip Edward Hartmann Macaulay Carson Culkin Leonard Simon Nimoy George Hearn Christopher Allen Lloyd Mel Harris Edward James Begley, Jr. Franklin W. Welker",The Pagemaster,David Kirschner
19985,,Spencer Bonaventure Tracy Katharine Hepburn,Without Love,Donald Ogden Stewart
19986,,Chiara Caselli Stephen Scott Leana Headey Ray Winstone John Gavin Malkovich,,
19987,,Smita Patil Amrish Lal Puri Anant Nagarakatte Satyadev Dubey,,Shyam Benegal Girish Karnad Arudra
19988,,Barry Sullivan (actor) Bruce Cowling Gretchen Young,,"Story:
Larry Marcus
Screenplay:
Mel Dinelli
Tom Lewis"
19989,,Cody Spurlock John Soares Uriel Padilla,Sockbaby,John Soares Douglas TenNapel
19990,,,,Bella Abramova Eduard Topol Bulat Okudzhava
19991,,Kyu Sakamoto Rokusuke Ei Shincho Kokontei,,
19992,,Nikki DeLoach,The Net 2.0,Rob Cowan
19993,,Aileen Carol Pittman Jeb Bush Nick Broomfield,,Nick Broomfield
19994,,Riki Takeuchi Shichinosuke Nakamura Eiko Koike Suzuki Matsuo Tomoya Nagase Kankuro Nakamura,,Kotobuki Shiriagari Kankuro Kudo
19995,,u53E4u5929u6A02 Lau Ching-Wan Carina Lau,La Brassiere,"Chan Hing-Ka,
Amy Chin"
19996,,Maya Sansa Giovanni Calcagno Giulio Bosetti Luigi Lo Cascio Paolo Briguglia Roberto Herlitzka,,Paola Tavella Marco Bellocchio Anna Laura Braghetti
19997,,Jason Barry Rob Brydon Stephanie Leonidas Gina McKee,MirrorMask,David Tench McKean Neil Gaiman
19998,,Josette Day Raimu Fernandel,,Herman G. Weinberg Marcel Pagnol
19999,,Kim Catrall Rutger Oelsen Hauer Neil Duncan,Split Second Spilt Second,Gary Scott Thompson
20000,,Archibald Alec Leach Ingrid Bergman William Claude Rains,Notorious,Ben Hecht
20001,,Andrew Keegan Edward Walter Furlong Daniel Franzese Susan Ward,,Paul T. Murray Eugene Hess Paul Lawrence
20002,,Reginald Carey Harrison Rosalind Russell Ralph David Richardson Friedrich Robert Donath,The Citadel,Frank Wead A. J. Cronin Ian Dalrymple
20003,,Yusuf Khan Fatima Rashid,,Hasrat Jaipuri
20004,,Karin Rørbeck Jørgen Kiil Puk Scharbau Lars Bom,Skyggen,Thomas Borch Nielsen
20005,,,Columbia Pictures Serial (film),
20006,,Zvi Mosheh (Hirsh) Skikne Susan Shentall,Golden Lion Romeo and Juliet,Renato Castellani
20007,,Jeffrey Chyau Sung Kang Samantha Futerman Jade Wu,The Motel,Michael Kang (director)
20008,,Richard Norton Robert Patrick Don Gordon Bell Corinne Wahl,,Frederick Bailey
20009,,Bill Travers Bernard James Miles Margaret Rutherford Virginia McKenna Richard Henry Sellers,The Smallest Show on Earth,John Eldridge (director) William Rose
20010,,Amitabh Bachchan Saira Banu Vinod Khanna,,Vijay Kaul
20011,,Robert Stephens Emile Charles Bruce Martyn Payne Tony Forsyth Anthony Robert McMillan,,Frank Clarke
20012,,"Michelle Johnson (actress) Steven Seagal Brian Cox Robert Patrick Gunton, Jr. Keenan Ivory Wayans",The Glimmer Man,Kevin Brodbin
20013,,Henry Warren Beaty Eugene Alden Hackman Dorothy Faye Dunaway Michael J. Pollard Estelle Margaret Parsons,,Robert Douglas Benton Robert Towne David Newman
20014,,Jasmine Mary Joseph Vijay Karunas Amisha Patel Kalabhavan Mani,,Jagan
20015,,Lucy Alexis Liu Will Patton Cedric Antonio Kyles Callum Keith Rennie Nicollette Sheridan,Code Name: The Cleaner,Robert Adetuyi George Gallo
20016,,Ry?ta Koyama Takashi Matsuyama Makoto Ashikawa Taro Suwa Takako Fuji Denden Kahori Fujii Yuuko Daike,Ju-On 2,Takashi Shimizu
20017,,"Hani Amer
Monira Amer
and their 6 children",,
20018,,Ed Williams George Kennedy Priscilla Ann Wagner O. J. Simpson Leslie William Nielsen,,Jerry Zucker (film director) Jim Abrahams David Zucker
20019,,Kabir Bedi,Aakhri Kasam,
20020,,"Lane Carroll
Will MacMillan
Harold Wayne Jones",,George Andrew Romero
20021,,Morgan Sheppard Bernard Bresslaw Peter O'Farrell Ray Charleson John Terry (actor) Volodymyr Palahnyuk,Hawk the Slayer,"Terry Marcel
Harry Robertson"
20022,,Pablo Calogero Cathy Moriarty Armand Anthony Assante Jr. Scott Cohen Josu00E9 Antonio Domu00EDnguez Banderas Maruschka Detmers,The Mambo Kings,Cynthia Cidre Oscar Hijuelos
20023,,William Shatner Linda Purl Lyova Haskell Rosenthal Frederick Reginald Ironside Michael J. Reynolds,Visiting Hours,Brian Taggert
20024,,Bridget Jane Fonda Peter Friedman Jennifer L. Morrow Steven Weber (actor),Single White Female,John Lutz Don Roos
20025,,Roscoe Arbuckle,Close Relations,Jack Henley
20026,,Warner Leroy Baxter Charles Butterworth (actor) Myrna Adele Williams,Penthouse,Frances Goodrich Arthur Somers Roche Albert Hackett
20027,,Gulshan Grover Michael Higgs Nicholas James Moran Sidney Edmond Jocelyn Ackland John Rhys-Davies David Franck Guez Carmen Chaplin,Prisoners of the Sun,Anthony Hickox Peter Atkins
20028,,Cara Williams Jules Munshin Russell Collins Audrey Kathleen Ruston Philippe Lemaire Michele Farmer,,Lester Fuller Alex Joffé Jean Boyer
20029,,,Columbia Pictures Serial (film),
20030,,Derek Delevan Harris Joanne Dru Mercedes Agnes Carlotta McCambridge John Ireland Broderick Crawford,Academy Award for Best Picture,Robert Penn Warren Robert Rossen
20031,,Charles Scorsese,,Lawrence D. Cohen Mardik Martin
20032,,Oscar Levant Nina Consuela Maud Fock Eugene Curran Kelly Georges Guétary Leslie Claire Margaret Caron,Academy Award for Best Picture,Alan Jay Lerner
20033,,Lorraine Bracco Perry King Bruce Martyn Payne Tony Roberts Margaret Jobeth Williams Ellen Rona Barkin Jimmy Smits,Switch,William Blake Crump
20034,,Marguerite C. Moreau Danny Nucci Dennis Lee Hopper Malcolm John Taylor,,Stephen King Philip Eisner
20035,,Scott Kelly Galbreath Keri Bruno David Ury Michael Shamus Wiles Steve Beaumont Jones,,Graham Robertson (Final Draft)
20036,,Arthur Stanley Jefferson Oliver Hardy,Putting Pants On Philip,H.M. Walker
20037,,Ludwig Donath Regis Toomey Audrey Totter Joanne Dru Joan Banks Richard Widmark,,"Fay Kanin
Michael Kanin"
20038,,Sam Dunn,,
20039,,Kalyan Ram Kajal Agarwal,LakshmiKalyanam,
20040,,Ayumi Hamasaki Isao Yukisada,,
20041,,Halle Maria Berry Benjamin Bratt Sharon Vonne Stone,Catwoman,Theresa Rebeck Robert Kahn Michael Ferris John Rogers (writer)
20042,,Lyudmila Gurchenko,Vzyat Tarantino,"Aleksandr Gorshanov, Roman Kachanov, Irakli Kvirikadze story, Andrei Zhitkov"
20043,,,Babae sa Breakwater,Mario O'Hara
20044,,Sharmila Tagore Soumitra Chatterjee,Apur Sansar,Bibhutibhushan Bandopadhyay
20045,,Rajnikanth,,
20046,,James L. Avery Kevin Pollak Raven-Symoné Kyla Alissa Pratt Paul Andrew Richter Eddie Murphy Kristen Wilson (actress),Dr. Dolittle 2,Larry Levin Hugh Lofting
20047,,Juan Moreno y Herrera Jimu00E9nez Rosanna Lauren Arquette Jean-Marc Barr,Le Grand Bleu,Marilyn Goldin Jacques Mayol Robert Garland
20048,,Allan Arbus Eli Wallach Jerry De Louise Marsha Mason James Langston Edmund Caan Dabney Coleman,Cinderella Liberty,Darryl Ponicsan
20049,,William Edgar Buchanan Chuck Connors Thelma Ritter Jesse Donald Knotts Nellie Paulina Burgin Doris Day James Scott Bumgarner,,Jack Sher Sam Spewack Hal Kanter Bella Spewack Thomas Leo McCarey
20050,,Joan Chen Ethan Green Hawke Dagmara Dominczyk Laura Anne D'Ambruoso Rutger Oelsen Hauer Chiwetel Ejiofor,Tonight at Noon,Jonathan Lethem Michael Almereyda
20051,,Lindsay Parker Matthew Twining James Hong Chris Yen Jason London Scott Joseph Levy Kelly Perine Matt Mullins,Adventures of Johnny Tao: Rock Around the Dragon,Kenneth Scott Troum
20052,,ustralian actor Bruce Lyons Hamish McFarlane Noel Appleby Marshall Napier,,Geoff Chapple Vincent Ward Kely Lyons
20053,,Shawn Hatosy Guy Edward Pearce Sienna Rose Miller James Thomas Fallon Mena Adrienne Suvari Hayden Christensen,Factory Girl,"Captain Mauzner (story & screenplay)
Aaron Richard Golub(story)
Simon Monjack (screenplay)"
20054,,,Pickaxe,"Tim Lewis, Tim Ream"
20055,,Oliver Hardy,The Water Cure,
20056,,Barbarian Brothers Eva La Rue Richard Lynch,,Alberto Piferi James R. Silke
20057,,Judith Olivia Dench,Academy Award for Documentary Feature Into the Arms of Strangers: Stories of the Kindertransport,Harris
20058,,"Geraldine o'rawe, Geraldine James, Jake McCollough",,DH Lawrence Mark Partridge
20059,,Wallace Fitzgerald Beery,The Good Old Soak,"Don Marquis (play)
A. E. Thomas"
20060,,Tadanobu Asano Shie Kohinata,,Katsuhito Ishii Minetaro Mochizuki
20061,,Rena Owen Clifford Vivian Devon Curtis Mamengaroa Kerr-Bell Temuera Derek Morrison,,Alan Duff Riwia Brown
20062,,Jörn Höpfner Jan Prill Oliver Meier Eike utecht Fabian Gruba Nils Krawolitzki Markus Haage,,Markus Haage
20063,,Walter John Matthow Richard Benjamin Lee Meredith Fahrid Murad Ibrahim Nathan Birnbaum,,Neil Simon
20064,,Bharathi Singanalluru Puttaswamayya Muthuraju,Bangaaradha Manushya,
20065,,Stephen Chow Tats Lau Carina Lau Carmen Li,Forbidden City Cop,"Vincent Kok
Stephen Chow"
20066,,"Chris Rock Burton Leon Reynolds, Jr. James Oliver Cromwell Adam Richard Sandler Nelly William Edward Fichtner",,Sheldon Turner Albert S. Ruddy
20067,,Richard Travis Allan Nixon John Leslie 'Jackie' Coogan,Mesa of Lost Women,Orville H. Hampton Herbert Tevos
20068,,Amrita Singh Nirupa Roy Prem Chopra Dara Singh Amitabh Bachchan,,
20069,,Cal Robertson Andre Keuck,Zero Day,Ben Coccio Christopher Coccio
20070,,Wi Kuki Kaa Tim Elliot Tania Bristowe Zac Wallace Martyn Sanderson Bruno Lawrence Merata Mita Ilona Rodgers Kelly Johnson,,Geoff Murphy
20071,,Nico Antonio Gina Pareño Fonz Deza Nanding Josef Jhong Del Rosario Johnny Manahan Soliman Cruz,,Joel Jover
20072,,Sofia Villani Scicolone Carlo Ninchi Jean-Paul Belmondo Eleonora Brown,Two Women,Cesare Zavattini Vittorio De Sica Alberto Moravia
20073,,Mikemo Capaldi Nick McLouth Ronson Lambert Paul Rodriguez Jr. Mike Barker Jason Wakuzawa,,
20074,,Penelope Ann Miller Arthur Christopher Orme Plummer Fred Ward Rachel Ticotin Virginia Madsen Kim Coates,Full Disclosure,Tony Johnston
20075,,Saima Armaghan Shahid,,
20076,,Andrew McCarthy Robert Hepler Lowe Judd Asher Nelson Mary Megan Winningham Demetria Gene Guynes Emilio Estevez Sheen Alexandra Elizabeth Sheedy,St. Elmo's Fire,Carl Kurlander
20077,,"Mable John Kel Johari Rice Mitchell Danny Lebern Glover Keb' Mo' Gary Clark, Jr.",Honeydripper,John Sayles
20078,,Harold Lloyd,Hit Him Again,H.M. Walker
20079,,Tyler Perry Abdul-Malik Kashie Yoba Sharon Leal Janet Jackson,Why Did I Get Married?,Tyler Perry
20080,,Atom Willard Tom Delonge Matt Wachter Michael Ostman David Kennedy (guitarist),,
20081,,Hung Kam-Bo Lam Ching-Ying,Enter the Fat Dragon,Ni Kuang
20082,,Gladys Louise Smith,The Little American,Cecil Blount DeMille Jeanie MacPherson
20083,,James Stewart (actor) Charles Douville Coburn Therese Ann Rutherford Guy Bridges Kibbee Walter Houghston Beulah Bondy Gene Reynolds Richmond Reed Carradine Sterling Price Holloway Jr.,Of Human Hearts,
20084,,Karen Sillas,List of Sundance Film Festival award winners,Tom Noonan
20085,,Jean-Alfred Villain-Marais Mylène Demongeot Louis de Funès,,"Pierre Souvestre (novels) 
 Marcel Allain (novels)
Jean Halain(screenplay)
 Pierre Foucaud (screenplay)"
20086,,Oliva R. Duffy Warren Cook,,Frances Marion
20087,,Tabassum Hashmi,Ninne Pelladutha,Krishna Vamshi
20088,,Ulf Palme Anita Björk Märta Dorff,"Fru00F6ken Julie/Miss Julie, 1951",August Strindberg Alf Sjöberg
20089,,Joseph Leonard Gordon-Levitt Samantha Mathis,Sweet Jane,Joe Gayton
